ID,Buckingham Palace London,Kensington Palace London,St. Paul's Cathedral London,University of London,Westminster Abbey London,The British Museum,Tower Bridge London,Farringdon Station London,Victoria Station London,Piccadilly Circus Station London,Paddington Station London,Hyde Park London,London Bridge,Euston Station London,Waterloo Station London,London eye
3.15.3,8.88,3.58,6.66,3.11,7.46,7.17,3.58,8.47,4.24,3.45,,8.47,6.21,7.77,10.36,10.59
3.15.5,9.02,4.51,5.82,2.06,7.77,4.66,7.56,5.11,7.49,7.49,,9.71,6.82,4.24,11.04,6.72
3.15.10,5.86,5.40,6.12,1.76,11.24,3.99,16.69,5.51,4.08,5.86,,6.44,7.81,2.13,10.67,6.44
3.15.15,7.57,5.13,5.93,1.71,7.91,3.87,16.18,5.34,5.93,3.79,,6.25,7.57,2.07,14.49,6.25
4.10.1,11.22,4.44,,,10.15,,38.75,7.35,,4.26,3.04,,8.20,5.33,,7.27
4.10.3,12.23,5.50,,,13.34,,22.01,5.24,,12.23,4.32,,11.90,3.06,,10.19
4.10.5,12.23,5.50,,,13.34,,22.01,5.24,,12.23,4.32,,11.90,3.06,,10.19
4.10.10,12.17,6.37,,,17.48,,10.02,8.56,,9.34,4.64,,12.17,7.02,,12.23
4.10.15,9.20,9.40,,,9.60,,13.39,11.55,,6.27,4.75,,15.34,10.52,,9.98
4.15.1,7.04,2.78,16.71,2.57,6.37,3.04,24.30,4.61,3.34,2.67,1.91,,5.14,3.34,11.62,4.56
4.15.3,7.92,3.56,7.92,4.75,8.64,3.65,14.25,3.39,8.14,7.92,2.79,,7.70,1.98,10.79,6.60
4.15.5,7.92,3.56,7.92,4.75,8.64,3.65,14.25,3.39,8.14,7.92,2.79,,7.70,1.98,10.79,6.60
4.15.10,7.34,3.84,13.76,5.50,10.54,5.90,6.04,5.16,5.76,5.63,2.80,,7.34,4.23,8.78,7.37
4.15.15,5.55,5.67,13.67,5.55,5.79,5.92,8.08,6.97,3.86,3.78,2.87,,9.25,6.35,10.66,6.02
5.15.1,16.93,6.51,8.06,1.95,12.27,4.52,5.84,3.42,5.38,8.36,7.43,8.30,5.13,2.45,,3.46
5.15.3,6.63,15.54,5.79,2.01,8.06,4.42,3.86,5.91,4.53,6.97,10.54,11.62,5.33,2.06,,6.71
5.15.5,10.28,8.96,6.61,2.31,9.26,5.14,6.61,6.77,2.64,5.44,6.46,14.24,6.04,2.37,,6.86
5.15.10,7.05,21.73,6.06,2.12,3.86,4.70,4.04,6.21,4.83,4.97,10.35,11.44,5.55,2.17,,4.92
5.15.15,6.06,20.71,5.40,1.98,5.60,3.96,3.60,3.73,6.18,4.12,10.10,13.19,6.71,2.06,,6.60
3.10.1,,5.73,10.98,10.55,10.98,6.28,,,,5.73,,13.18,9.09,,15.21,12.26
3.10.3,,5.35,9.93,4.63,11.12,10.69,,,,5.15,,12.63,9.27,,15.44,15.79
3.10.5,,6.77,8.75,3.09,11.66,7.00,,,,11.25,,14.58,10.24,,16.57,10.09
3.10.10,,8.21,9.31,2.69,17.10,6.07,,,,8.91,,9.80,11.88,,16.24,9.80
3.10.15,,8.16,9.43,2.72,12.58,6.15,,,,6.02,,9.93,12.04,,23.03,9.93
5.2.1,,43.97,,,,,,,,,,56.03,,,,
5.2.3,,57.21,,,,,,,,,,42.79,,,,
5.2.5,,38.61,,,,,,,,,,61.39,,,,
5.2.10,,65.52,,,,,,,,,,34.48,,,,
5.2.15,,61.09,,,,,,,,,,38.91,,,,
5.5.1,,21.69,,6.48,,,19.45,,,,24.74,27.65,,,,
5.5.3,,35.66,,4.62,,,8.85,,,,24.19,26.67,,,,
5.5.5,,23.22,,6.00,,,17.14,,,,16.74,36.91,,,,
5.5.10,,43.74,,4.27,,,8.14,,,,20.83,23.02,,,,
5.5.15,,41.77,,3.99,,,7.26,,,,20.37,26.61,,,,
5.10.1,,11.21,,3.35,21.12,7.77,10.05,,9.25,,12.78,14.29,,4.22,,5.95
5.10.3,,22.40,,2.90,11.62,6.38,5.56,,6.53,,15.20,16.76,,2.97,,9.68
5.10.5,,13.81,,3.57,14.27,7.93,10.19,,4.08,,9.96,21.96,,3.66,,10.57
5.10.10,,30.97,,3.02,5.51,6.70,5.76,,6.88,,14.75,16.30,,3.10,,7.01
5.10.15,,27.99,,2.68,7.57,5.35,4.86,,8.36,,13.65,17.83,,2.79,,8.92
3.2.1,,,47.25,,,,,,,,,,,,,52.75
3.2.3,,,38.60,,,,,,,,,,,,,61.40
3.2.5,,,46.43,,,,,,,,,,,,,53.57
3.2.10,,,48.72,,,,,,,,,,,,,51.28
3.2.15,,,48.72,,,,,,,,,,,,,51.28
3.5.1,,,20.39,19.58,20.39,,,,,,,,16.88,,,22.76
3.5.3,,,19.57,9.13,21.91,,,,,,,,18.26,,,31.13
3.5.5,,,19.96,7.04,26.61,,,,,,,,23.36,,,23.03
3.5.10,,,18.33,5.29,33.67,,,,,,,,23.40,,,19.30
3.5.15,,,20.20,5.83,26.93,,,,,,,,25.78,,,21.26
2.2.1,,,,0.00,,,100.00,,,,,,,,,
2.2.3,,,,0.00,,,100.00,,,,,,,,,
2.2.5,,,,0.00,,,100.00,,,,,,,,,
2.2.10,,,,21.13,,,78.87,,,,,,,,,
2.2.15,,,,22.07,,,77.93,,,,,,,,,
2.5.1,,,,0.00,,,50.27,,,,0.00,,,12.14,37.59,
2.5.3,,,,0.00,,,66.22,,,,0.00,,,0.00,33.78,
2.5.5,,,,0.00,,,85.37,,,,0.00,,,0.00,14.63,
2.5.10,,,,12.00,,,44.80,,,,10.34,,,9.53,23.33,
2.5.15,,,,12.16,,,42.96,,,,10.10,,,4.97,29.80,
2.10.1,,,,0.00,3.94,14.95,34.08,4.12,5.92,,0.00,,3.26,8.23,25.49,
2.10.3,,,,0.00,6.45,0.00,50.55,4.75,0.00,,0.00,,12.45,0.00,25.79,
2.10.5,,,,0.00,10.24,4.84,59.71,4.26,5.12,,0.00,,5.60,0.00,10.24,
2.10.10,,,,6.64,14.31,4.96,24.80,6.76,10.33,,5.72,,8.27,5.28,12.92,
2.10.15,,,,7.14,11.66,8.13,25.21,4.66,8.33,,5.93,,8.53,2.91,17.49,
4.5.1,,,,,,,59.98,11.38,,,4.71,,12.69,,,11.25
4.5.3,,,,,,,41.02,9.77,,,8.04,,22.17,,,18.99
4.5.5,,,,,,,41.02,9.77,,,8.04,,22.17,,,18.99
4.5.10,,,,,,,21.04,17.97,,,9.75,,25.56,,,25.68
4.5.15,,,,,,,24.34,21.00,,,8.64,,27.88,,,18.15
4.2.1,,,,,,,,,,,,,53.01,,,46.99
4.2.3,,,,,,,,,,,,,53.87,,,46.13
4.2.5,,,,,,,,,,,,,53.87,,,46.13
4.2.10,,,,,,,,,,,,,49.89,,,50.11
4.2.15,,,,,,,,,,,,,60.57,,,39.43
