ID,Buckingham Palace London,Kensington Palace London,St. Paul's Cathedral London,University of London,Westminster Abbey London,The British Museum,Tower Bridge London,Farringdon Station London,Victoria Station London,Piccadilly Circus Station London,Paddington Station London,Hyde Park London,London Bridge,Euston Station London,Waterloo Station London,London eye
2.10.3,,,,12.54,8.09,3.86,10.03,11.94,13.93,,7.71,,10.90,8.95,12.05,
2.10.5,,,,4.20,7.69,3.29,17.49,13.00,15.16,,10.11,,9.75,9.75,9.58,
2.10.10,,,,11.35,12.61,4.05,9.62,8.57,12.61,,11.95,,12.27,8.11,8.87,
2.10.15,,,,7.93,10.07,6.71,16.79,7.59,7.93,,9.35,,9.88,6.04,17.69,
4.5.1,,,,,,,22.92,24.06,,,8.91,,24.06,,,20.05
4.5.3,,,,,,,25.27,23.38,,,8.66,,26.71,,,15.98
4.5.5,,,,,,,22.21,24.99,,,9.26,,22.72,,,20.82
4.5.10,,,,,,,37.80,22.56,,,7.28,,21.52,,,10.84
4.5.15,,,,,,,28.49,20.59,,,6.74,,20.59,,,23.59
4.2.1,,,,,,,,,,,,,46.60,,,53.40
4.2.3,,,,,,,,,,,,,52.14,,,47.86
4.2.5,,,,,,,,,,,,,56.96,,,43.04
4.2.10,,,,,,,,,,,,,75.52,,,24.48
4.2.15,,,,,,,,,,,,,57.83,,,42.17
